date,game,player,round_score,game_score
2020-03-13,2,Neil,17,19
2020-03-13,6,Steve,20,23
2020-03-13,7,Steve,21,22
2020-03-14,2,Chuck,26,27
2020-04-08,2,Chuck,23,22
2020-04-08,2,Steve,15,16
2020-05-01,5,Shawn,17,18
2020-05-01,6,Shawn,28,27
2020-06-27,3,Chuck,26,27
2020-06-27,6,Chuck,34,33
2020-10-09,5,Chuck,26,24
2020-10-09,9,Chuck,13,17
2020-10-09,9,Shawn,27,25
2021-01-08,3,Chuck,30,22
2021-01-08,3,Shawn,22,30
2021-04-09,8,Neil,15,19
2021-04-30,1,Chuck,15,16
2021-04-30,1,Steve,16,15
2021-08-21,1,Shawn,20,18
2021-08-21,4,Shawn,16,18
2021-08-21,4,Steve,24,23
2021-08-21,5,Chuck,18,19
2021-11-06,1,Shawn,40,31
2021-11-06,6,Shawn,26,25
2021-11-06,10,Chuck,35,25
2021-12-16,1,Chuck,22,25
2021-12-16,1,Shawn,25,22
2021-12-17,2,Neil,33,35
2021-12-17,4,Neil,35,33
2022-01-15,8,Chuck,32,34
2022-01-15,8,Neil,41,39
2022-04-02,5,Chuck,26,27
2022-04-02,11,Chuck,23,22
2022-04-11,5,Neil,18,19
2022-04-11,5,Shawn,32,22
2022-04-11,7,Chuck,22,24
2022-04-16,5,Neil,38,30
2022-04-16,8,Shawn,18,8
2022-04-16,9,Chuck,34,33
2022-04-30,8,Neil,13,19
2022-05-07,2,Neil,30,37
2022-05-07,6,Neil,30,35
2022-05-14,7,Neil,18,17
2022-05-21,4,Chuck,32,33
2022-05-28,2,Shawn,18,19
2022-05-28,8,Chuck,35,34
2022-05-28,8,Shawn,32,33
2022-06-11,6,Shawn,18,17
2022-06-11,6,Steve,18,30
2022-06-11,7,Neil,30,33
2022-06-30,1,Shawn,29,28
2022-06-30,3,Marshall,5,6
2022-06-30,8,Marshall,8,9
2022-07-02,1,Chuck,16,22
2022-07-02,1,Shawn,23,17
2022-07-02,3,Marshall,14,15
2022-07-02,5,Marshall,8,7
2022-07-02,7,Marshall,8,12
2022-07-03,1,Steve,14,17
2022-07-14,2,Chuck,23,27
