date,game,player,round_score,game_score
2020-03-13,2,Neil,17,19
2020-03-13,6,Steve,20,23
2020-03-13,7,Steve,21,22
2020-03-14,2,Chuck,26,27
2020-04-08,2,Chuck,23,22
2020-04-08,2,Steve,15,16
2020-05-01,5,Shawn,17,18
2020-05-01,6,Shawn,28,27
2020-06-27,3,Chuck,26,27
2020-06-27,6,Chuck,34,33
2020-10-09,5,Chuck,26,24
2020-10-09,9,Chuck,13,17
2020-10-09,9,Shawn,27,25
2020-11-27,4,Kivan,4,8
2020-11-27,5,Kivan,4,15
2020-11-27,6,Kivan,4,16
2020-11-27,7,Kivan,4,20
2020-12-04,1,Kivan,2,10
2020-12-04,2,Kivan,4,21
2020-12-04,3,Kivan,4,17
2020-12-04,4,Kivan,4,21
2020-12-04,5,Kivan,3,13
2020-12-04,6,Kivan,4,10
2020-12-04,7,Kivan,4,13
2021-01-08,3,Chuck,30,22
2021-01-08,3,Shawn,22,30
2021-01-15,2,Kivan,4,14
2021-01-15,3,Kivan,4,10
2021-02-12,1,Kivan,4,12
2021-02-12,2,Kivan,4,18
2021-02-12,3,Kivan,4,23
2021-02-12,4,Kivan,4,19
2021-02-12,5,Kivan,4,20
2021-02-12,6,Kivan,4,21
2021-04-09,8,Neil,15,19
2021-04-17,6,Kivan,3,12
2021-04-17,7,Kivan,4,24
2021-04-24,4,Kivan,4,19
2021-04-24,5,Kivan,4,17
2021-04-24,6,Kivan,4,19
2021-04-30,1,Chuck,15,16
2021-04-30,1,Steve,16,15
2021-05-01,6,Kivan,4,22
2021-05-20,1,Kivan,4,16
2021-05-20,3,Kivan,4,14
2021-05-20,5,Kivan,4,15
2021-07-10,1,Andy,4,8
2021-07-10,2,Andy,3,5
2021-07-10,6,Andy,4,8
2021-07-10,7,Andy,4,8
2021-07-10,8,Andy,4,7
2021-07-17,1,Andy,4,12
2021-07-17,2,Andy,4,10
2021-07-17,3,Andy,3,9
2021-07-17,4,Andy,3,7
2021-07-17,5,Andy,2,4
2021-08-01,1,Marshall,4,5
2021-08-01,3,Marshall,3,8
2021-08-21,1,Shawn,20,18
